GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,N,1485,1183,11128,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/79 and https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/62",https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/blob/master/LICENSE is provided.,There are test files for some of the projects,10,2015
podgorskiy/ALAE,N,2148,288,5580,The source code of the project consists of some ad-hoc scripts.,Multiple contributors (Mainly one): https://github.com/podgorskiy/ALAE/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented","No commits in the past few months, around 12 commits in the last year","More open than closed, author seldom replies",No license,There is no evidence of any testing done on the project.,4,1654
pytorch/tutorials,N,3944,1248,10774,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.,427,2547
qiskit-community/qiskit-textbook,N,179,883,8085,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/qiskit-community/qiskit-textbook/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/qiskit-community/qiskit-textbook/blob/master/LICENSE.txt,There is no evidence of any testing done on the project.,232,1503
quantumiracle/SOTA-RL-Algorithms,N,159,105,9281,The source code of this project has been organised into different modules in a way that shows the relationship between different files,One contributor,No indications of using CI services,"There is a well maintained README, some codes are documented",No commits the past month,No open issues,https://github.com/quantumiracle/SOTA-RL-Algorithms/blob/master/LICENSE,There is no evidence of any testing done on the project.,3,1614
rail-berkeley/softlearning,N,583,1479,8609,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rail-berkeley/softlearning/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/rail-berkeley/softlearning/blob/master/LICENSE,There is no evidence of any testing done on the project.,13,1754
robertness/causalML,N,185,138,38212,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts (Seems like a tutorial),Multiple contributors: https://github.com/robertness/causalML/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented",No commits the past month,No open or closed issues,https://github.com/robertness/causalML/blob/master/LICENSE,There is no evidence of any testing done on the project.,40,1739
santi-pdp/pase,N,275,899,19211,The source code of the project consists of some ad-hoc scripts.,Multiple contributors: https://github.com/santi-pdp/pase/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented",No commits the past month,"More open than closed, author seldom replies",https://github.com/santi-pdp/pase/blob/master/LICENSE,There is no evidence of any testing done on the project.,7,1767
snap-stanford/ogb,N,400,315,11324,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,25,1399
spmallick/learnopencv,N,10891,917,31821,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,71,3139
SpursLipu/YOLOv3-ModelCompression-MultidatasetTraining-Multibackbone,N,136,170,6443,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/SpursLipu/YOLOv3v4-ModelCompression-MultidatasetTraining-Multibackbone/issues/21 and https://github.com/SpursLipu/YOLOv3v4-ModelCompression-MultidatasetTraining-Multibackbone/issues/29","There is no license to be found, either in the form of a license file or written inside the source code file.",Only 1 test file,5,1323
tensorflow/examples,N,3396,1221,39962,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,259,1893
tensorflow/models,N,64439,4914,234008,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,365,2786
tensorflow/text,N,596,226,13466,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,103,1575
tirthajyoti/Machine-Learning-with-Python,N,1309,446,10108,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"There is 1 contributor other than the author, but 1 commit with 1++ 1-- only",X CI is not used on the project.,Documentation provided,Commits are quite spread out,1 open < 4 closed,License provided,X Doesn't seem to have unit test,3,2256
vwxyzjn/cleanrl,N,156,365,19456,X The source code of the project exists as ad-hoc scripts.,"1 has significantly more commits than others, 2 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",3 open < 7 closed,License provided,A number,34,1567
wandb/examples,N,178,180,9682,X The source code of the project exists as ad-hoc scripts in folders,Yes,X CI is not used on the project.,X not much,Commits are quite spread out,3 open > 1 closed,"X There is no license to be found, either in the form of a license file or written inside the source code file.",X 1,53,2058
wjmaddox/swa_gaussian,N,185,337,7949,The experiments of this project has been organised into different modules,"2 has significantly more commits than others, 6 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,about 1+ per month,2 open < 7 closed,License provided,X 2,7,1916
wubinzzu/NeuRec,N,524,202,7016,Organised but not in modules,"1 has significantly more commits than others, 3 contributers",Travis used,X Most of the functions in the source code are not documented.,Commit activity not negligible,8 open < 10 closed,License provided,X Doesn't seem to have unit test,5,1669
x4nth055/pythoncode-tutorials,N,219,181,22800,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",5 open < 7 closed,License provided,X Doesn't seem to have unit test,11,1515
